target_start_utc,decision_time_utc,realised_price_gbp_mwh,frozen_prediction_gbp_mwh,previous_settlement_day_reference_gbp_mwh,bias_correction_gbp_mwh,bias_history_rows,bias_history_latest_target_utc,adaptive_prediction_gbp_mwh,row_sha256,chain_sha256
2026-08-21T11:30:00Z,2026-08-21T09:30:00Z,130.530000000,112.678369995,147.110000000,9.421647666,96,2026-08-21T09:00:00Z,122.100017662,61c9b53e02c6d50017907fc5864b47efabc10d79407d5c3f51d12dc23e99251a,da456a8e53f7e93ed7610bc3446bb7287eaf213969e07b2db2f0fb1b50220a4a
2026-08-21T12:00:00Z,2026-08-21T10:00:00Z,131.940000000,117.258912064,146.120000000,9.557987393,96,2026-08-21T09:30:00Z,126.816899456,bb5fdf063f4f3844dc6db4665e9f72d57cd643325235bb5451cab825735689df,043706ecff241f2008a0092d6877a9b01d4424fa4384ea831b1627e98b309e04
2026-08-21T12:30:00Z,2026-08-21T10:30:00Z,130.360000000,121.818219904,140.940000000,9.853069641,96,2026-08-21T10:00:00Z,131.671289546,57f8337c171a3b2984e5addb5660b2a1235bdc9083c45105687c7806b3592060,57f46a8278df683e92914abe5e790da881ec8297cb8c21a9d32f32fb3b674d2b
2026-08-21T13:00:00Z,2026-08-21T11:00:00Z,135.910000000,121.958914642,138.600000000,9.930351992,96,2026-08-21T10:30:00Z,131.889266635,ea0e5157b1265d67f653c36d9e7013f2c45d9dd1504064b82586955b8d1f39df,384ddd08f556f79a6cf0148dd44597b36153c6e45e0f2734d3cd8dfc04642313
2026-08-21T13:30:00Z,2026-08-21T11:30:00Z,133.460000000,122.781476818,140.440000000,9.915482920,96,2026-08-21T11:00:00Z,132.696959738,02abfef79e590e367ad6d0364be4b9c7c4b53870428a065a95550bb2f16fa42d,5d16e10bdf8ef5cde3c83759d0430cfab8f61afc6bdb3f74a571d9a3c29bac98
2026-08-21T14:00:00Z,2026-08-21T12:00:00Z,136.890000000,123.482762803,141.240000000,9.898524628,96,2026-08-21T11:30:00Z,133.381287431,c5c4ca52229425f002bd8cbf657779b6308285c1d4436302d9e5ba3dc943a5e9,b27a99b21466c8a4cbf58d29ad9c980a174b278cee1a741582a978af747789f2
2026-08-21T14:30:00Z,2026-08-21T12:30:00Z,129.020000000,125.620933755,138.370000000,9.845648935,96,2026-08-21T12:00:00Z,135.466582690,2a86b2ce65797f4074ec1c74f29efb172619d76ba1494fae3c1f54ee3a34826a,eb7a47cfc2e452f91b2d15405e5eba870c1f10eb6ceb4ae1ec7ce9e5a655efac
2026-08-21T15:00:00Z,2026-08-21T13:00:00Z,134.300000000,124.584431437,139.410000000,9.669928130,96,2026-08-21T12:30:00Z,134.254359567,4cee8621754344d824167befd1e090d36e28e729887407358f92dba1acee7855,8f0ccc59725740265a59fbf8c1f534bc23cfb8702465f77eb776542c526e18e6
2026-08-21T15:30:00Z,2026-08-21T13:30:00Z,124.370000000,133.310520815,132.580000000,9.626476015,96,2026-08-21T13:00:00Z,142.936996830,72ca4703bc9cc28036781cec5c48f6a7c6e601f5a3cb5e339afe2463d29ebf47,f857a1f7f069961624cc3cb5d1f4e544e942d06658882ed56f519b09429257c6
2026-08-21T16:00:00Z,2026-08-21T14:00:00Z,121.780000000,131.874542399,138.860000000,9.642179068,96,2026-08-21T13:30:00Z,141.516721468,22f6eb77094b30c4a0c55fa82f4949ee6a8fa1e32a86447529b03e50ab510fd4,75e8efc07d99b84eeb33d39679681109aae82b83d7457d93f742e4cd34d15eb8
2026-08-21T16:30:00Z,2026-08-21T14:30:00Z,129.420000000,137.775220297,143.770000000,9.566919635,96,2026-08-21T14:00:00Z,147.342139932,5e73ee1c0ac739d47a604745623dc7998c412498f2fdf092044bf1f5b0d4b7fc,5cdf43a701530d330901fb699597bd2615a77d8a232ffe5b8ab498386f888283
2026-08-21T17:00:00Z,2026-08-21T15:00:00Z,138.230000000,128.994238708,148.550000000,9.398544254,96,2026-08-21T14:30:00Z,138.392782962,ed9177eaa1ff2a7dcda6433413acaaa670d6e74f3583f6d419ce15eb45308152,e9243a3cbb1223b29054f041a408cfe0dab826c8da6c8a3f0da3f7b553eb34d7
2026-08-21T17:30:00Z,2026-08-21T15:30:00Z,151.010000000,139.043991358,145.720000000,9.238752543,96,2026-08-21T15:00:00Z,148.282743901,1d6a280c61829080537720205011c451cc35f075e7ff82ad23e25aa2adec3cc8,5852d70b1a18acc0ff9ae46de71c372fc9d8878e8e2ecab8d2b2427dae997745
2026-08-21T18:00:00Z,2026-08-21T16:00:00Z,155.240000000,126.885875875,155.760000000,8.922978041,96,2026-08-21T15:30:00Z,135.808853916,9c5b38fbb1705171bf6abf95a53e707188c7d5879e7e0cfce73d87875c093b60,185a7d64d742e35575186986b27608bc4e05c273e2c5fb2badf04451b1638702
