fold,score_start_utc,score_end_exclusive_utc,base_selected_family,base_deployed_source,base_promoted,base_mae_gbp_mwh,v25_mae_gbp_mwh,v26_mae_gbp_mwh,v27_mae_gbp_mwh,previous_day_mae_gbp_mwh
1,2026-05-01T00:00:00+00:00,2026-05-08T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PRICE_PLUS_NESO_LEVELS,True,10.303383183037827,10.581761725836177,10.351561542311993,10.31540435675576,19.106875
2,2026-05-08T00:00:00+00:00,2026-05-15T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PRICE_PLUS_NESO_LEVELS,True,12.343859337514132,12.524330315018185,12.058789869898138,12.088054976446927,23.346101190476194
3,2026-05-15T00:00:00+00:00,2026-05-22T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PREVIOUS_SETTLEMENT_DAY_FALLBACK,False,17.21300595238095,18.527587425595236,17.343971354166666,17.482074652777776,17.21300595238095
4,2026-05-22T00:00:00+00:00,2026-05-29T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PREVIOUS_SETTLEMENT_DAY_FALLBACK,False,16.036250000000003,17.389327566964283,15.491365947420636,15.504777405753968,16.036250000000003
5,2026-05-29T00:00:00+00:00,2026-06-05T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PREVIOUS_SETTLEMENT_DAY_FALLBACK,False,19.464017857142856,21.413831535218254,18.19772166418651,19.424391431051585,19.464017857142856
6,2026-06-05T00:00:00+00:00,2026-06-12T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PREVIOUS_SETTLEMENT_DAY_FALLBACK,False,34.17235119047619,45.52574094742064,35.05542162698413,35.13156715029762,34.17235119047619
7,2026-06-12T00:00:00+00:00,2026-06-19T00:00:00+00:00,PRICE_HISTORY_ONLY,PREVIOUS_SETTLEMENT_DAY_FALLBACK,False,32.66544642857143,36.85685112847222,30.25942708333334,31.627392423115083,32.66544642857143
8,2026-06-19T00:00:00+00:00,2026-06-26T00:00:00+00:00,PRICE_HISTORY_ONLY,PREVIOUS_SETTLEMENT_DAY_FALLBACK,False,33.000416666666666,37.915095796130956,32.450105716765876,33.34746031746032,33.000416666666666
9,2026-06-26T00:00:00+00:00,2026-07-03T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PRICE_PLUS_NESO_LEVELS,True,17.600672202749745,16.740272823103307,16.536611340754,16.776881270706237,29.74297619047619
10,2026-07-03T00:00:00+00:00,2026-07-10T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PRICE_PLUS_NESO_LEVELS,True,15.622312594434211,16.291543967208256,15.734013113169427,15.499473846081607,40.693869047619046
11,2026-07-10T00:00:00+00:00,2026-07-17T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PRICE_PLUS_NESO_LEVELS,True,13.87050619790584,14.403164596037982,14.143525211424178,13.799219426182157,21.222023809523808
12,2026-07-17T00:00:00+00:00,2026-07-24T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PRICE_PLUS_NESO_LEVELS,True,11.741933220063274,12.241493956148783,11.718644966024328,11.40109925088626,22.35991071428571
13,2026-07-24T00:00:00+00:00,2026-07-31T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PRICE_PLUS_NESO_LEVELS,True,19.896853144060255,20.241483849138636,20.06099908819838,19.971222557438548,35.929761904761904
14,2026-07-31T00:00:00+00:00,2026-08-07T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PRICE_PLUS_NESO_LEVELS,True,13.746914769075838,13.349414172338976,13.194064481499598,13.548730369202579,20.73639880952381
15,2026-08-07T00:00:00+00:00,2026-08-14T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PRICE_PLUS_NESO_LEVELS,True,16.420398288660383,16.46526233940952,16.40170360154106,16.077885701005837,20.65860119047619
16,2026-08-14T00:00:00+00:00,2026-08-21T00:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PREVIOUS_SETTLEMENT_DAY_FALLBACK,False,15.48473079927053,16.094511009198765,15.015311980447919,15.464076199373535,15.48473079927053
17,2026-08-21T00:00:00+00:00,2026-08-23T22:00:00+00:00,PRICE_PLUS_NESO_LEVELS,PRICE_PLUS_NESO_LEVELS,True,18.55811289920028,19.36278265180125,18.555757696598008,18.075910323447488,27.29314285714286
